Source,Site,Phase,Context,SiteCode,Specimen,Element,GLI,GLm,DI,Dm,Bd,GL,GD,GB,min.w.sh/midpoint w.shaft,max w.sh/th.shaft,Bp,DC,Td,BT,HTC,Dp,Dd,LA,SH,SB,MHP,MWP,DLS,Ld,SLC,GLP,BG,DPA,SDO,BPC,SD,GLpe,BFp,BFd,LG,LO,MBS
Edwards,Ayn Qasiyya A,,22,AQA,78b,Phalanx1,,,,,8.10,39.43,,,,,9.16,,,,,,,,,,,,,,,,,,,,7.30,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,78c,Phalanx1,,,,,8.33,35.78,,,,,10.23,,,,,,,,,,,,,,,,,,,,7.29,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,78d,Phalanx1,,,,,9.57,35.84,,,,,10.08,,,,,,,,,,,,,,,,,,,,7.81,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,81a,Phalanx2,,,,,7.44,22.01,,,,,8.28,,,,,,,,,,,,,,,,,,,,5.76,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,81b,Phalanx2,,,,,8.28,22.01,,,,,9.82,,,,,,,,,,,,,,,,,,,,7.16,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,81c,Phalanx2,,,,,8.77,22.83,,,,,9.21,,,,,,,,,,,,,,,,,,,,7.06,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,93a,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.57,21.34,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,93b,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.96,20.10,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,93c,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.82,20.34,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,95a,Phalanx2,,,,,7.61,22.50,,,,,8.79,,,,,,,,,,,,,,,,,,,,6.68,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,95b,Phalanx2,,,,,7.89,20.41,,,,,8.40,,,,,,,,,,,,,,,,,,,,5.83,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,95c,Phalanx2,,,,,7.62,22.16,,,,,8.65,,,,,,,,,,,,,,,,,,,,6.14,,,,,,
Edwards,Ayn Qasiyya B,,1005,AQB,192,Phalanx2,,,,,7.50,20.88,,,,,8.36,,,,,,,,,,,,,,,,,,,,6.70,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,204,Tibia,,,,,25.24,,,,,,,,,,,,19.81,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,204,Tibia,,,,,22.47,,,,,,,,,,,,19.51,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,205,Metatarsal,,,,,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,205,Metatarsal,,,,,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,205,Metatarsal,,,,,21.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,212,Tibia,,,,,23.27,,,,,,,,,,,,19.20,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,223,Astragalus,24.22,,,13.97,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,225,Radius,,,,,23.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1005,AQB,239,Tibia,,,,,,,,,,,32.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1005,AQB,241,Astragalus,28.25,26.23,16.09,15.30,16.64,,,,,,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1005,AQB,247,Phalanx1,,,,,9.30,40.07,,,,,10.95,,,,,,,,,,,,,,,,,,,,7.48,,,,,,
Edwards,Ayn Qasiyya B,,1005,AQB,256,Tibia,,,,,21.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1001,AQB,275,Phalanx2,,,,,7.45,19.78,,,,,8.42,,,,,,,,,,,,,,,,,,,,5.80,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,289,Tibia,,,,,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,289,Tibia,,,,,21.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,306,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.78,21.05,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,307,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,21.48,16.36,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,312,Astragalus,26.03,24.20,14.04,14.16,14.93,,,,,,14.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1001,AQB,361,Phalanx2,,,,,,,,,,,9.20,,,,,,,,,,,,,,,,,,,,7.52,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,386,Phalanx2,,,,,7.38,20.06,,,,,8.70,,,,,,,,,,,,,,,,,,,,6.61,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,401,Phalanx1,,,,,8.71,43.10,,,,,9.54,,,,,,,,,,,,,,,,,,,,7.36,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,402,Phalanx1,,,,,8.68,37.37,,,,,10.24,,,,,,,,,,,,,,,,,,,,7.88,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,407,Phalanx2,,,,,6.54,19.65,,,,,7.01,,,,,,,,,,,,,,,,,,,,5.54,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,425,Tibia,,,,,18.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,428,Phalanx2,,,,,7.20,20.39,,,,,8.43,,,,,,,,,,,,21.80,,,,,,,,6.37,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,429,Phalanx2,,,,,8.19,20.36,,,,,8.68,,,,,,,,,,,,21.22,,,,,,,,6.39,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,440,Patella,,,,,,26.27,,21.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,456,Femur,,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,475,Phalanx2,,,,,8.40,20.91,,,,,9.04,,,,,,,,,,,,22.87,,,,,,,,6.56,,,,,,
Edwards,Ayn Qasiyya B,,1013,AQB,506,Phalanx2,,,,,7.35,21.01,,,,,8.04,,,,,,,,,,,,,,,,,,,,6.22,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,542,Phalanx2,,,,,7.96,21.94,,,,,9.28,,,,,,,,,,,,,,,,,,,,5.92,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,543,Phalanx2,,,,,8.68,22.27,,,,,9.03,,,,,,,,,,,,,,,,,,,,6.53,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,544,Phalanx2,,,,,7.08,19.83,,,,,8.73,,,,,,,,,,,,,,,,,,,,6.59,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,546,Phalanx2,,,,,7.95,22.81,,,,,9.15,,,,,,,,,,,,,,,,,,,,6.85,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,548,Phalanx2,,,,,6.71,20.39,,,,,7.45,,,,,,,,,,,,,,,,,,,,4.67,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,552,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.63,21.54,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,553,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.88,19.37,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,554,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.66,19.35,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,562,Humerus,,,,,,,,,,,,,,23.34,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,575,Astragalus,27.16,24.49,15.11,14.80,15.34,,,,,,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,633,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.58,19.80,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,649,Astragalus,26.26,23.76,14.86,14.40,16.39,,,,,,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,651,Phalanx2,,,,,8.14,21.73,,,,,8.60,,,,,,,,,,,,,,,,,,,,6.01,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,652,Phalanx2,,,,,8.19,21.49,,,,,8.41,,,,,,,,,,,,,,,,,,,,6.69,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,654,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,25.93,20.04,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,683,Phalanx1,,,,,8.82,35.78,,,,,10.37,,,,,,,,,,,,,,,,,,,,7.88,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,685,Phalanx2,,,,,7.71,21.38,,,,,8.97,,,,,,,,,,,,,,,,,,,,6.47,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,686,Phalanx2,,,,,8.16,22.35,,,,,8.73,,,,,,,,,,,,,,,,,,,,6.52,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,687,Phalanx2,,,,,7.87,21.43,,,,,9.04,,,,,,,,,,,,,,,,,,,,6.61,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,707,Radius,,,,,22.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,708,Radius,,,,,,,,,,,24.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,709,Humerus,,,,,,,,,,,,,,24.66,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,712,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,33.66,26.50,,,,,,,,25.30,,
Edwards,Ayn Qasiyya B,,1004,AQB,725,Astragalus,27.53,24.79,15.32,15.23,14.44,,,,,,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,730,Phalanx2,,,,,7.61,21.98,,,,,9.62,,,,,,,,,,,,,,,,,,,,7.33,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,735,Humerus,,,,,,,,,,,,,,19.52,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,752,Astragalus,27.54,24.71,14.61,15.10,16.29,,,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,753,Astragalus,25.33,23.42,,14.39,15.31,,,,,,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,758,Patella,,,,,,25.53,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,759,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.91,19.67,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,771,Phalanx2,,,,,8.13,20.60,,,,,9.13,,,,,,,,,,,,,,,,,,,,7.82,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,774,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.80,17.88,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1016-1005,AQB,787,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,31.05,19.16,,,,,,,,25.43,,
Edwards,Ayn Qasiyya B,,1004,AQB,793,Metapodial,,,,,,,,,,,,,,19.60,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,796,Phalanx1,,,,,8.79,35.39,,,,,11.05,,,,,,,,,,,,,,,,,,,,7.09,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,800,Phalanx2,,,,,8.59,21.23,,,,,9.36,,,,,,,,,,,,,,,,,,,,6.84,22.16,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,801,Phalanx2,,,,,9.04,22.43,,,,,9.71,,,,,,,,,,,,,,,,,,,,7.81,23.10,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,802,Phalanx2,,,,,7.51,21.20,,,,,8.96,,,,,,,,,,,,,,,,,,,,6.37,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,805,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.62,21.11,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,815,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,31.68,23.57,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,828,Phalanx1,,,,,8.60,35.80,,,,,9.50,,,,,,,,,,,,,,,,,,,,,35.60,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,830,Phalanx2,,,,,8.30,20.50,,,,,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,831,Phalanx2,,,,,7.80,18.90,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,866,Femur,,,,,33.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,874,Phalanx1,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,7.45,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,874,Phalanx1,,,,,,,,,,,8.80,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,875,Phalanx1,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,875,Phalanx1,,,,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,876,Phalanx2,,,,,,,,,,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,10004,AQB,877,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,,21.40,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1017,AQB,911,Phalanx2,,,,,8.37,22.86,,,,,8.64,,,,,,,,,,,,,,,,,,,,6.17,,,,,,
Edwards,Ayn Qasiyya B,,1011-1004,AQB,923,Phalanx2,,,,,7.98,22.77,,,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011+1004,AQB,923,Phalanx2,,,,,,22.90,,,,,9.28,,,,,,,,,,,,,,,,,,,,6.15,,,,,,
Edwards,Ayn Qasiyya B,,1011+1004,AQB,931,Patella,,,,,,23.65,,20.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,935,Phalanx2,,,,,9.06,22.55,,,,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,947,Phalanx1,,,,,9.02,37.56,,,,,10.94,,,,,,,,,,,,,,,,,,,,7.53,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,947,Phalanx1,,,,,8.76,36.35,,,,,10.91,,,,,,,,,,,,,,,,,,,,7.44,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,951,Humerus,,,,,23.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,951,Humerus,,,,,24.67,,,,,,,,,22.36,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,958,Phalanx1,,,,,8.71,41.24,,,,,9.54,,,,,,,,,,,,,,,,,,,,7.12,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,959,Phalanx1,,,,,8.54,40.83,,,,,9.58,,,,,,,,,,,,,,,,,,,,7.06,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,960,Phalanx2,,,,,8.06,21.54,,,,,8.91,,,,,,,,,,,,,,,,,,,,7.26,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,964,Radius,,,,,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,?,AQB,987,Metapodial,,,,,,,,,,,,,,21.10,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,,AQB,995,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,22.80,,,,,,,,25.80,,
Edwards,Ayn Qasiyya B,,?,AQB,1000,Patella,,,,,,23.20,,18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,?,AQB,1001,Patella,,,,,,25.10,,18.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1228,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,26.63,21.65,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1229,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,28.20,22.68,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1230,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.05,20.10,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1262,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,32.80,24.50,,,,,,,,26.16,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1264,Astragalus,28.26,25.73,15.70,15.12,16.22,,,,,,15.76,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1268,Tibia,,,,,,,,,,,39.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1272,Patella,,,,,,25.85,,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1273,Phalanx1,,,,,8.37,43.53,,,,,9.88,,,,,,,,,,,,,,,,,,,,7.47,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1274,Phalanx1,,,,,9.05,37.90,,,,,11.19,,,,,,,,,,,,,,,,,,,,7.67,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1294,Femur,,,,,31.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1322,Phalanx2,,,,,7.86,20.81,,,,,8.51,,,,,,,,,,,,,,,,,,,,5.75,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1323,Phalanx2,,,,,7.53,22.41,,,,,9.19,,,,,,,,,,,,,,,,,,,,6.70,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1341,Humerus,,,,,26.58,,,,,,,,,23.79,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1342,Humerus,,,,,26.70,,,,,,,,,25.09,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004.1,AQB,1344,Astragalus,27.34,25.38,14.70,16.29,16.11,,,,,,18.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004.1,AQB,1345,Astragalus,26.93,24.99,15.85,15.09,15.69,,,,,,16.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1351,Phalanx2,,,,,8.15,20.17,,,,,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1366,Radius,,,,,24.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1369,Phalanx2,,,,,7.74,21.89,,,,,9.43,,,,,,,,,,,,,,,,,,,,6.63,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1372,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,24.09,20.26,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1396,Astragalus,27.58,25.55,14.89,,15.55,,,,,,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-2,AQB,1402,Phalanx2,,,,,8.00,21.61,,,,,8.71,,,,,,,,,,,,,,,,,,,,5.49,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1423,Femur,,,,,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1423,Femur,,,,,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1472,Phalanx1,,,,,9.08,40.70,,,,,9.20,,,,,,,,,,,,,,,,,,,,7.28,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1473,Metapodial,,,,,,,,,,,,,,21.95,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1474,Tibia,,,,,,,,,,,33.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1480,Axis,,,,,,,,33.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1487,Tibia,,,,,18.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1488,Phalanx2,,,,,8.73,22.54,,,,,9.16,,,,,,,,,,,,,,,,,,,,6.49,,,,,,
Edwards,Ayn Qasiyya B,,1011.1,AQB,1569,Humerus,,,,,26.49,,,,,,,,,23.21,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011.1,AQB,1570,Astragalus,26.10,24.76,14.83,14.12,15.78,,,,,,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1601,Astragalus,26.88,25.06,14.20,14.87,15.97,,,,,,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1603,Radius,,,,,20.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1604,Radius,,,,,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1606,Phalanx2,,,,,7.35,21.20,,,,,8.31,,,,,,,,,,,,,,,,,,,,6.30,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1636,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,27.50,22.52,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1646,Astragalus,26.67,24.62,14.63,14.62,15.39,,,,,,14.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1647,Astragalus,25.93,24.19,14.32,14.43,14.87,,,,,,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1655,Phalanx2,,,,,8.17,22.11,,,,,8.42,,,,,,,,,,,,,,,,,,,,6.32,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1656,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.84,19.21,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1662,Humerus,,,,,,,,,,,,,,,,42.55,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1663,Astragalus,26.58,24.58,,,16.27,,,,,,16.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1673,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,23.79,19.71,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1702,Phalanx2,,,,,6.33,21.84,,,,,8.76,,,,,,,,,,,,,,,,,,,,6.31,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1744,Phalanx1,,,,,9.16,41.37,,,,,9.04,,,,,,,,,,,,,,,,,,,,7.52,,,,,,
